Clients
ID,First Name,Last Name,Email,Status,Created At
32,canab,moh,canab@gmail.com,pending,2025-10-29 00:06:40.135462+00:00
31,ramlooy,Ali,muse@gmail.com,pending,2025-10-28 22:26:13.012860+00:00
30,waryaa,Ali,dfgh@gmail.com,pending,2025-10-28 21:49:20.591762+00:00
29,qaxaaye,cli,qa@gmail.com,pending,2025-10-27 06:10:01.863052+00:00
28,hanad,Ali,han@gmail.com,pending,2025-10-27 06:04:45.010172+00:00
27,hanad,hassan,han@gmail.com,pending,2025-10-27 06:03:55.920708+00:00
26,hanad,hassan,han@gmail.com,pending,2025-10-27 06:03:22.923276+00:00
25,hanad,Ali,eid@gmail.com,pending,2025-10-27 06:02:34.360011+00:00
24,hanad,Ali,eid@gmail.com,pending,2025-10-27 06:01:44.032781+00:00
23,hanad,Ali,eid@gmail.com,pending,2025-10-27 06:01:40.782608+00:00
22,hanad,Ali,eid@gmail.com,pending,2025-10-27 06:00:56.302261+00:00
21,hanad,Ali,eid@gmail.com,pending,2025-10-27 06:00:31.109253+00:00
20,hanad,Ali,eid@gmail.com,pending,2025-10-27 06:00:22.296628+00:00
19,hanad,Ali,eid@gmail.com,pending,2025-10-27 06:00:14.648937+00:00
18,hanad,Ali,eid@gmail.com,pending,2025-10-27 06:00:10.898997+00:00
17,hanad,Ali,eid@gmail.com,pending,2025-10-27 05:58:54.920787+00:00
16,warfaa,Abdi,war@gmail.com,pending,2025-10-27 05:40:09.537848+00:00
15,mansuur,hassan,war@gmail.com,pending,2025-10-27 05:25:07.935998+00:00
14,mohamed,Hassan,moh@gmail.com,pending,2025-10-27 05:18:16.923723+00:00
13,Fadumo hassan,Ali,fadumo@gmail.com,pending,2025-10-27 03:32:29.490808+00:00
12,Zamzam,muhamed,zam@gmail.com,pending,2025-10-27 03:23:20.497637+00:00
11,iqro Abdullahi,Mohamed,eidabdullahi10@gmail.com,verified,2025-10-27 03:18:39.037655+00:00
10,mursa,ALi,mursal@gmail.com,pending,2025-10-27 03:16:06.832034+00:00
9,jamac,yu,yu@gmail.com,pending,2025-10-26 20:18:28.337878+00:00
8,abdisamad,Ali,abdi@gmail.com,pending,2025-10-26 19:55:32.851727+00:00
7,XALIM,HASSAN,xak@gmail.ccom,pending,2025-10-26 16:32:52.441821+00:00
6,Zam,Hassan,zam@gmail.com,pending,2025-10-25 22:22:48.465180+00:00
5,ruqiyo,farax,ru@gmail.com,pending,2025-10-24 18:37:58.004152+00:00
4,ramlo,clmi,ra@gmail.com,pending,2025-10-24 05:06:50.799132+00:00
3,sacdiyo,muqtaar,sacdiyo@gmail.com,pending,2025-10-24 05:05:47.408247+00:00
2,casho,farah,cash@gmail.com,pending,2025-10-24 04:44:14.798290+00:00
1,Abdinasir,Ali,abdi@gmail.com,pending,2025-10-24 03:03:26.878754+00:00

Policies
ID,Policy Number,Type,Active,Created At
9,POL-0015,family,True,2025-10-27 05:44:49.756262+00:00
8,POL-0012,ngo,True,2025-10-27 04:06:48.618874+00:00
7,POL-66E8C0BF,individual,True,2025-10-26 23:40:40.206920+00:00
6,09,employer,True,2025-10-26 20:22:57.915882+00:00
5,POL-007,employer,True,2025-10-26 16:34:51.437022+00:00
4,POL-002,individual,True,2025-10-25 22:27:28.566180+00:00
3,POL-B1,individual,True,2025-10-24 21:20:53.784536+00:00
2,POL-ED4E6913,individual,True,2025-10-24 04:45:42.442773+00:00
1,001,individual,True,2025-10-24 03:13:21.481593+00:00

Claims
ID,Client First Name,Client Last Name,Amount,Status,Created At
10,warfaa,Abdi,180.00,approved,2025-10-27 05:51:06.126296+00:00
9,sacdiyo,muqtaar,50.00,reimbursed,2025-10-26 23:56:03.954842+00:00
8,sacdiyo,muqtaar,100.00,reimbursed,2025-10-26 23:47:43.818452+00:00
7,jamac,yu,60.00,reimbursed,2025-10-26 22:46:29.384634+00:00
6,jamac,yu,50.00,reimbursed,2025-10-26 20:29:56.108059+00:00
5,casho,farah,50.00,reimbursed,2025-10-25 16:41:38.733292+00:00
4,casho,farah,20.00,reimbursed,2025-10-25 16:41:03.955466+00:00
3,ruqiyo,farax,40.00,reimbursed,2025-10-25 16:36:09.648877+00:00
2,casho,farah,100.00,reimbursed,2025-10-24 04:47:16.111022+00:00
1,Abdinasir,Ali,100.00,reimbursed,2025-10-24 03:32:35.690344+00:00
